no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;529318;40;59.0107;N;5;28.3929;W;957;2689;18497;234;-297;-111;126.14927
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;529420;40;59.0117;N;5;28.3959;W;683;2805;19040;232;-333;-69;125.64912
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;529521;40;59.0126;N;5;28.3988;W;542;2854;19109;223;-320;-42;126.08812
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;529623;40;59.0134;N;5;28.4018;W;427;2852;19011;185;-272;-44;126.12841
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;529727;40;59.0144;N;5;28.4047;W;756;3004;18992;193;-329;-53;125.81476
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;529824;40;59.0153;N;5;28.4077;W;778;2763;18716;177;-370;-46;125.72198
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;529926;40;59.0163;N;5;28.4107;W;787;2992;18945;141;-559;-27;126.74057
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530026;40;59.0173;N;5;28.4136;W;634;2865;18297;113;-738;-3;126.16613
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530127;40;59.0183;N;5;28.4166;W;521;2711;17739;155;-690;-17;126.07675
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530229;40;59.0192;N;5;28.4195;W;683;2451;17426;197;-695;-20;125.72198
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530331;40;59.02;N;5;28.4224;W;655;2429;17668;227;-799;-32;125.18576
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530430;40;59.0209;N;5;28.4254;W;559;2122;17057;279;-786;-41;124.93582
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530531;40;59.0219;N;5;28.4283;W;598;2346;17423;319;-740;-41;125.20708
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530632;40;59.0229;N;5;28.4313;W;651;2499;17351;390;-760;-38;124.90603
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530753;40;59.0236;N;5;28.4342;W;975;2753;17937;412;-881;0;124.99456
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530856;40;59.0249;N;5;28.4371;W;977;2979;18139;412;-941;10;124.85626
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;530958;40;59.0256;N;5;28.4401;W;807;3212;18924;470;-937;62;124.70481
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531037;40;59.0266;N;5;28.443;W;1004;3205;19840;435;-982;81;124.35402
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531156;40;59.0275;N;5;28.4459;W;1024;3444;20682;371;-1002;129;124.42203
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531260;40;59.0285;N;5;28.4488;W;950;3434;20869;283;-922;122;125.62545
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531340;40;59.0295;N;5;28.4517;W;1386;3566;20798;252;-864;138;124.47148
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531463;40;59.0305;N;5;28.4546;W;1566;3395;19735;233;-924;242;124.30924
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531564;40;59.0314;N;5;28.4575;W;1635;3514;19763;220;-1000;355;123.96007
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531664;40;59.0322;N;5;28.4604;W;1289;3423;19826;282;-813;442;123.80448
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531744;40;59.0332;N;5;28.4633;W;1423;3261;20035;307;-743;461;124.20893
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531866;40;59.0341;N;5;28.4662;W;1129;3304;20083;327;-543;487;124.42594
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;531969;40;59.0351;N;5;28.4691;W;1078;3465;20643;360;-374;542;124.27709
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532047;40;59.0361;N;5;28.472;W;1112;3464;20222;364;-432;570;123.93851
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532169;40;59.0371;N;5;28.4749;W;994;3510;20633;361;-510;606;124.85741
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532271;40;59.038;N;5;28.4778;W;677;3839;21062;322;-489;612;124.83583
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532350;40;59.0388;N;5;28.4807;W;927;3482;20662;331;-652;684;124.63198
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532471;40;59.0397;N;5;28.4836;W;643;3806;21556;368;-1070;834;124.98965
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532575;40;59.0407;N;5;28.4865;W;126;4210;22816;340;-1335;882;124.9479
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532654;40;59.0415;N;5;28.4894;W;262;4282;22339;263;-1275;827;125.33802
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532774;40;59.0424;N;5;28.4923;W;225;3581;19881;202;-790;670;124.8405
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532877;40;59.0432;N;5;28.4952;W;271;3705;20172;168;-930;642;124.55998
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;532957;40;59.0441;N;5;28.4981;W;281;3196;19750;215;-1136;668;123.79712
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533078;40;59.0451;N;5;28.501;W;171;3180;19527;259;-1154;673;123.90886
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533181;40;59.0458;N;5;28.504;W;-33;2807;18554;263;-845;551;124.2818
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533260;40;59.0468;N;5;28.5069;W;182;2616;17084;317;-729;485;124.10645
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533382;40;59.0476;N;5;28.5098;W;66;2665;17713;419;-576;398;123.98867
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533484;40;59.0485;N;5;28.5127;W;519;3242;19068;448;-433;271;124.10591
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533563;40;59.0495;N;5;28.5156;W;478;3668;20168;484;-237;184;124.2919
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533664;40;59.0505;N;5;28.5185;W;852;3635;20315;474;-259;237;124.17153
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533766;40;59.0515;N;5;28.5214;W;862;3384;20072;431;-458;330;125.05364
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533886;40;59.0522;N;5;28.5244;W;834;3695;20119;390;-815;468;124.98983
no;3;izquierda;normal;normal;si;sobre;2/4/2025;09:40;533967;40;59.0529;N;5;28.5273;W;489;3505;20463;375;-907;536;124.61329
