Toma dura;Valoración;rueda primero;toma trasera;toma delantera;centrado con eje;líneas de contacto;milisegundos;grados_lat;minutos_lat;latitud;grados_lon;minutos_lon;longitud;ax;ay;az;gx;gy;gz;heading
no;3;izquierda;normal;normal;si;sobre;532047;40;59.0361;N;5;28.472;W;1112;3464;20222;364;-432;570;123.93851
no;3;izquierda;normal;normal;si;sobre;532169;40;59.0371;N;5;28.4749;W;994;3510;20633;361;-510;606;124.85741
no;3;izquierda;normal;normal;si;sobre;532271;40;59.038;N;5;28.4778;W;677;3839;21062;322;-489;612;124.83583
no;3;izquierda;normal;normal;si;sobre;532350;40;59.0388;N;5;28.4807;W;927;3482;20662;331;-652;684;124.63198
no;3;izquierda;normal;normal;si;sobre;532471;40;59.0397;N;5;28.4836;W;643;3806;21556;368;-1070;834;124.98965
no;3;izquierda;normal;normal;si;sobre;532575;40;59.0407;N;5;28.4865;W;126;4210;22816;340;-1335;882;124.9479
no;3;izquierda;normal;normal;si;sobre;532654;40;59.0415;N;5;28.4894;W;262;4282;22339;263;-1275;827;125.33802
no;3;izquierda;normal;normal;si;sobre;532774;40;59.0424;N;5;28.4923;W;225;3581;19881;202;-790;670;124.8405
no;3;izquierda;normal;normal;si;sobre;532877;40;59.0432;N;5;28.4952;W;271;3705;20172;168;-930;642;124.55998
no;3;izquierda;normal;normal;si;sobre;532957;40;59.0441;N;5;28.4981;W;281;3196;19750;215;-1136;668;123.79712
no;3;izquierda;normal;normal;si;sobre;533078;40;59.0451;N;5;28.501;W;171;3180;19527;259;-1154;673;123.90886
no;3;izquierda;normal;normal;si;sobre;533181;40;59.0458;N;5;28.504;W;-33;2807;18554;263;-845;551;124.2818
no;3;izquierda;normal;normal;si;sobre;533260;40;59.0468;N;5;28.5069;W;182;2616;17084;317;-729;485;124.10645
no;3;izquierda;normal;normal;si;sobre;533382;40;59.0476;N;5;28.5098;W;66;2665;17713;419;-576;398;123.98867
no;3;izquierda;normal;normal;si;sobre;533484;40;59.0485;N;5;28.5127;W;519;3242;19068;448;-433;271;124.10591
no;3;izquierda;normal;normal;si;sobre;533563;40;59.0495;N;5;28.5156;W;478;3668;20168;484;-237;184;124.2919
no;3;izquierda;normal;normal;si;sobre;533664;40;59.0505;N;5;28.5185;W;852;3635;20315;474;-259;237;124.17153
no;3;izquierda;normal;normal;si;sobre;533766;40;59.0515;N;5;28.5214;W;862;3384;20072;431;-458;330;125.05364
no;3;izquierda;normal;normal;si;sobre;533886;40;59.0522;N;5;28.5244;W;834;3695;20119;390;-815;468;124.98983
no;3;izquierda;normal;normal;si;sobre;533967;40;59.0529;N;5;28.5273;W;489;3505;20463;375;-907;536;124.61329
no;3;izquierda;normal;normal;si;sobre;534069;40;59.0539;N;5;28.5303;W;776;3574;20416;367;-1225;605;124.71843
no;3;izquierda;normal;normal;si;sobre;534169;40;59.0546;N;5;28.5332;W;760;3717;20509;393;-1319;634;124.19226
no;3;izquierda;normal;normal;si;sobre;534292;40;59.0556;N;5;28.5362;W;725;3858;20452;452;-1102;633;124.2013
no;3;izquierda;normal;normal;si;sobre;534371;40;59.0563;N;5;28.5392;W;288;3621;20163;468;-800;605;124.02413
no;3;izquierda;normal;normal;si;sobre;534497;40;59.0571;N;5;28.5422;W;656;2867;18565;519;-569;574;124.26479
no;3;izquierda;normal;normal;si;sobre;534574;40;59.0576;N;5;28.5452;W;683;2814;18755;596;-589;603;124.50853
no;3;izquierda;normal;normal;si;sobre;534674;40;59.0583;N;5;28.5482;W;764;3146;19604;695;-643;649;124.48248
no;3;izquierda;normal;normal;si;sobre;534775;40;59.0585;N;5;28.5512;W;956;3210;19839;751;-738;749;124.65071
no;3;izquierda;normal;normal;si;sobre;534877;40;59.059;N;5;28.5542;W;1053;3477;19914;795;-766;839;124.81026
no;3;izquierda;normal;normal;si;sobre;534977;40;59.0595;N;5;28.5573;W;992;3907;20896;843;-893;927;125.49122
no;3;izquierda;normal;normal;si;sobre;535078;40;59.06;N;5;28.5603;W;727;4134;21778;847;-836;983;125.33464
no;3;izquierda;normal;normal;si;sobre;535180;40;59.0605;N;5;28.5634;W;900;3683;21499;769;-613;951;125.8099
no;3;izquierda;normal;normal;si;sobre;535281;40;59.061;N;5;28.5664;W;470;3699;21445;714;-395;978;125.81241
no;3;izquierda;normal;normal;si;sobre;535383;40;59.0615;N;5;28.5695;W;818;3619;21002;641;-452;1049;125.92395
no;3;izquierda;normal;normal;si;sobre;535504;40;59.062;N;5;28.5726;W;586;4076;21555;549;-390;1099;125.61032
no;3;izquierda;normal;normal;si;sobre;535584;40;59.0625;N;5;28.5757;W;570;3559;20568;452;-374;1121;125.86355
no;3;izquierda;normal;normal;si;sobre;535686;40;59.0629;N;5;28.5788;W;220;3054;19190;394;-484;1129;125.69692
no;3;izquierda;normal;normal;si;sobre;535786;40;59.0634;N;5;28.5819;W;310;2975;18543;408;-589;1126;125.90107
no;3;izquierda;normal;normal;si;sobre;535908;40;59.0639;N;5;28.585;W;167;3185;18377;360;-752;1099;125.76082
no;3;izquierda;normal;normal;si;sobre;535989;40;59.0644;N;5;28.5882;W;334;2920;18377;392;-824;1086;125.72102
no;3;izquierda;normal;normal;si;sobre;536089;40;59.0646;N;5;28.5912;W;209;3028;19257;385;-801;1045;125.38137
no;3;izquierda;normal;normal;si;sobre;536190;40;59.0651;N;5;28.5944;W;203;3106;18211;304;-495;898;126.24749
no;3;izquierda;normal;normal;si;sobre;536291;40;59.0659;N;5;28.5974;W;204;2750;16767;396;-367;871;126.20337
no;3;izquierda;normal;normal;si;sobre;536392;40;59.0661;N;5;28.6005;W;33;2825;18101;479;-592;902;126.14947
no;3;izquierda;normal;normal;si;sobre;536494;40;59.0666;N;5;28.6036;W;119;2849;17919;544;-864;890;125.58876
no;3;izquierda;normal;normal;si;sobre;536594;40;59.0671;N;5;28.6067;W;-45;3245;18225;566;-1072;890;125.37513
no;3;izquierda;normal;normal;si;sobre;536695;40;59.0673;N;5;28.6098;W;-34;3032;18355;572;-1278;837;125.26924
no;3;izquierda;normal;normal;si;sobre;536797;40;59.0678;N;5;28.6128;W;346;3374;19132;601;-1446;822;124.98834
no;3;izquierda;normal;normal;si;sobre;536897;40;59.0683;N;5;28.6159;W;578;3232;18833;547;-1377;800;124.88973
no;3;izquierda;normal;normal;si;sobre;536998;40;59.0688;N;5;28.6221;W;195;3366;19505;657;-1081;785;124.74114
no;3;izquierda;normal;normal;si;sobre;537100;40;59.069;N;5;28.6252;W;259;3275;19513;630;-960;755;124.55812
no;3;izquierda;normal;normal;si;sobre;537201;40;59.0693;N;5;28.6282;W;625;3452;19162;640;-756;743;124.78329
no;3;izquierda;normal;normal;si;sobre;537303;40;59.0698;N;5;28.6313;W;550;4155;20899;697;-519;751;124.46607
no;3;izquierda;normal;normal;si;sobre;537403;40;59.07;N;5;28.6344;W;439;3900;21268;636;-288;754;124.72394
no;3;izquierda;normal;normal;si;sobre;537504;40;59.0703;N;5;28.6375;W;441;3955;21426;645;-54;768;125.29137
no;3;izquierda;normal;normal;si;sobre;537606;40;59.0708;N;5;28.6406;W;747;4034;20945;611;29;793;125.32597
no;3;izquierda;normal;normal;si;sobre;537706;40;59.071;N;5;28.6437;W;252;4046;20031;625;427;758;125.4135
no;3;izquierda;normal;normal;si;sobre;537807;40;59.0712;N;5;28.6468;W;564;3478;19846;580;677;679;126.03056
no;3;izquierda;normal;normal;si;sobre;537909;40;59.0717;N;5;28.6498;W;663;3281;18828;610;562;749;125.943
no;3;izquierda;normal;normal;si;sobre;538009;40;59.072;N;5;28.6529;W;532;3504;18390;628;339;871;126.07223
no;3;izquierda;normal;normal;si;sobre;538110;40;59.0722;N;5;28.656;W;398;3070;17418;667;301;890;126.51535
no;3;izquierda;normal;normal;si;sobre;538211;40;59.0725;N;5;28.659;W;234;2993;17938;737;1;952;126.23992
no;3;izquierda;normal;normal;si;sobre;538312;40;59.0725;N;5;28.6621;W;-49;3050;18642;795;-102;960;126.54802
no;3;izquierda;normal;normal;si;sobre;538414;40;59.0727;N;5;28.6652;W;405;3084;18788;799;-255;960;126.98608
no;3;izquierda;normal;normal;si;sobre;538514;40;59.0729;N;5;28.6683;W;247;3431;19107;767;-374;938;126.8699
no;3;izquierda;normal;normal;si;sobre;538615;40;59.0732;N;5;28.6713;W;310;3225;18972;773;-360;900;126.78478
no;3;izquierda;normal;normal;si;sobre;538717;40;59.0734;N;5;28.6744;W;225;3139;19308;721;-293;869;127.35158
no;3;izquierda;normal;normal;si;sobre;538817;40;59.0737;N;5;28.6775;W;244;3192;19288;763;-279;888;127.63851
no;3;izquierda;normal;normal;si;sobre;538918;40;59.0739;N;5;28.6805;W;507;3593;19917;729;-383;897;127.66241
no;3;izquierda;normal;normal;si;sobre;539020;40;59.0742;N;5;28.6836;W;220;3641;19920;699;-324;902;127.81054
no;3;izquierda;normal;normal;si;sobre;539121;40;59.0744;N;5;28.6866;W;234;3342;20096;653;-340;900;127.3691
